event,gender,clas_s,category,sub_category,wind,athlete,year,position,school,series,mark,points
High Jump ,Girls,2,Field Event,Jumps,,Brihana Mccalla,26,12,St. Catherine High School,,1.55mX,0
High Jump ,Boys,1,Field Event,Jumps,,Santino Distin,26,1,St. Elizabeth Technical High School,,2.05mX,9
High Jump ,Boys,3,Field Event,Jumps,,Victor Lewis,26,12,St. Elizabeth Technical High School,,1.55mX,0
High Jump ,Boys,1,Field Event,Jumps,,Jayden Hylton,26,8,St. Jago High School,,1.90mX,0.5
High Jump ,Boys,2,Field Event,Jumps,,Nikaro Johnson,26,1,St. Jago High School,,2.03mX,9
High Jump ,Boys,2,Field Event,Jumps,,Cajay Burnett,26,8,St. Jago High School,,1.85mX,0.33
High Jump ,Girls,3,Field Event,Jumps,,Brianna Stewart,26,4,St. Jago High School,,1.65mX,5
High Jump ,Girls,4,Field Event,Jumps,,Kellyann Collins,26,10,St. Jago High School,,1.40mX,0
High Jump ,Boys,2,Field Event,Jumps,,Desjuan Lewis,26,12,St. Mary High School,,1.80mX,0
High Jump ,Boys,2,Field Event,Jumps,,Markodeen Moore,26,14,St. Mary High School,,1.75mX,0
High Jump ,Girls,2,Field Event,Jumps,,Sackoya Palmer,26,3,St. Mary High School,,1.70mX,6
High Jump ,Girls,4,Field Event,Jumps,,Jori-Ann Mcleod,26,7,St. Mary High School,,1.45mX,1.5
High Jump ,Boys,1,Field Event,Jumps,,Rajae Williams,26,5,Titchfield High School,,2.00mX,4
High Jump ,Boys,1,Field Event,Jumps,,Kijaun Williams,26,12,Titchfield High School,,1.90mX,0
High Jump ,Girls,1,Field Event,Jumps,,Ameila Montaque,26,5,Vere Technical High School,,1.55mX,2.5
High Jump ,Girls,1,Field Event,Jumps,,Kijonna Lee,26,11,Vere Technical High School,,1.55mX,0
High Jump ,Girls,2,Field Event,Jumps,,Nastascia Collins,26,11,Vere Technical High School,,1.60mX,0
High Jump ,Girls,4,Field Event,Jumps,,Jahmara Osbourne,26,2,Vere Technical High School,,1.55mX,7
High Jump ,Boys,1,Field Event,Jumps,,Kabiki Thomas,26,4,Wolmer's Boys School,,2.00mX,5
High Jump ,Boys,2,Field Event,Jumps,,Marques Yeard,26,11,Wolmer's Boys School,,1.85mX,0
High Jump ,Girls,2,Field Event,Jumps,,Kariecia Morrison,26,4,Wolmer's Trust High School For Girls,,1.70mX,5
High Jump ,Girls,2,Field Event,Jumps,,Ashley Kentish,26,8,Wolmer's Trust High School For Girls,,1.65mX,1
High Jump ,Girls,4,Field Event,Jumps,,Shanate Williams,26,6,Wolmer's Trust High School For Girls,,1.50mX,3
Javelin Throw ,Boys,Open,Field Event,Throws,,Anzain Walker,26,6,Calabar High School,,47.32mX,3
Javelin Throw ,Boys,Open,Field Event,Throws,,Tarique Daley,26,10,Calabar High School,,41.81mX,0
Javelin Throw ,Girls,Open,Field Event,Throws,,Rihanna Lewis,26,5,Camperdown High School,,33.32mX,4
Javelin Throw ,Girls,Open,Field Event,Throws,,Amoya Fenton,26,7,Camperdown High School,,30.85mX,2
Javelin Throw ,Boys,Open,Field Event,Throws,,Junior Wright,26,8,Cornwall College,,46.90mX,1
Javelin Throw ,Girls,Open,Field Event,Throws,,Angel Robinson,26,3,Edwin Allen High School,,43.67mX,6
Javelin Throw ,Girls,Open,Field Event,Throws,,Dionjah Shaw,26,10,Edwin Allen High School,,28.36mX,0
Javelin Throw ,Boys,Open,Field Event,Throws,,Addison James,26,1,Edwin Allen High School,,70.30mX,9
Javelin Throw ,Girls,Open,Field Event,Throws,,Tamar Austin,26,6,Excelsior High School,,32.69mX,3
Javelin Throw ,Girls,Open,Field Event,Throws,,Paulandra James,26,11,Godfrey Stewart High School,,26.66mX,0
Javelin Throw ,Girls,Open,Field Event,Throws,,Shamanda Wilmot,26,4,Holmwood Technical High School,,43.15mX,5
Javelin Throw ,Girls,Open,Field Event,Throws,,Zoelle Jamel,26,1,Immaculate Conception High School,,45.09mX,9
Javelin Throw ,Girls,Open,Field Event,Throws,,Dacia Mcdonald,26,8,Immaculate Conception High School,,28.73mX,1
Javelin Throw ,Boys,Open,Field Event,Throws,,Camron Williams,26,3,Jamaica College,,50.66mX,6
Javelin Throw ,Boys,Open,Field Event,Throws,,Kimari Smith,26,2,Kingston College,,54.25mX,7
Javelin Throw ,Boys,Open,Field Event,Throws,,Samuel Brown,26,5,Kingston College,,47.36mX,4
Javelin Throw ,Boys,Open,Field Event,Throws,,Jadan Edwards,26,9,Kingston Technical High School,,44.53mX,0
Javelin Throw ,Boys,Open,Field Event,Throws,,Alex Benjamin,26,4,Port Antonio High School,,48.84mX,5
Javelin Throw ,Boys,Open,Field Event,Throws,,Jaheem Fisher,26,7,St. Catherine High School,,47.12mX,2
Javelin Throw ,Boys,Open,Field Event,Throws,,Rojeve Graham,26,11,St. George's College,,40.26mX,0
Javelin Throw ,Girls,Open,Field Event,Throws,,Rihanna Anderson,26,9,St. Jago High School,,28.37mX,0
Javelin Throw ,Girls,Open,Field Event,Throws,,Kris-Ann-Tai Byfield,26,--,St. Jago High School,,FOULX,0
Javelin Throw ,Girls,Open,Field Event,Throws,,Ramona Freemantle,26,2,Vere Technical High School,,45.09mX,7
Javelin Throw ,Boys,Open,Field Event,Throws,,Devaune Freemantle,26,12,Vere Technical High School,,37.47mX,0
Long Jump ,Boys,1,Field Event,Jumps,,Shevaughn Pryce,26,5,Calabar High School,,6.90mX,4
Long Jump ,Boys,2,Field Event,Jumps,,Talshawn Edwards,26,2,Calabar High School,,7.02mX,7
Long Jump ,Boys,2,Field Event,Jumps,,Shamar Shaw,26,5,Calabar High School,,6.64mX,4
Long Jump ,Boys,3,Field Event,Jumps,,Imaney Samuels,26,8,Calabar High School,,5.49mX,1
Long Jump ,Girls,2,Field Event,Jumps,,Cashante Samuels,26,7,Camperdown High School,,5.16mX,2
Long Jump ,Boys,3,Field Event,Jumps,,Duejon-I Dacosta,26,9,Camperdown High School,,5.34mX,0
Long Jump ,Girls,2,Field Event,Jumps,,Stefvanco Henry,26,3,Campion College,,5.59mX,6
Long Jump ,Boys,3,Field Event,Jumps,,Omarion Chantiloupe,26,4,Clarendon College,,5.85mX,5
Long Jump ,Girls,2,Field Event,Jumps,,Rajana Price,26,2,Convent of Mercy Academy (ALPHA),,5.61mX,7
Long Jump ,Girls,3,Field Event,Jumps,,Seana Wilson,26,7,Convent of Mercy Academy (ALPHA),,5.11mX,2
Long Jump ,Boys,2,Field Event,Jumps,,Zhi-Hew Whitter,26,4,Cornwall College,,6.79mX,5
Long Jump ,Boys,2,Field Event,Jumps,,Andrew Reid,26,10,Cornwall College,,6.03mX,0
Long Jump ,Girls,3,Field Event,Jumps,,Joey Livine,26,6,Dinthill Technical High School,,5.19mX,3
Long Jump ,Girls,2,Field Event,Jumps,,Karee Tape,26,10,Edwin Allen High School,,5.02mX,0
Long Jump ,Girls,1,Field Event,Jumps,,Akaylea Brown,26,1,Edwin Allen High School,,5.73mX,9
Long Jump ,Girls,1,Field Event,Jumps,,Renecia Edwards,26,4,Edwin Allen High School,,5.49mX,5
Long Jump ,Girls,3,Field Event,Jumps,,Dashanelle Clarke,26,1,Edwin Allen High School,,5.50mX,9
Long Jump ,Girls,3,Field Event,Jumps,,Kemoya Campbell,26,2,Edwin Allen High School,,5.49mX,7
Long Jump ,Girls,4,Field Event,Jumps,,Leantrae Williams,26,4,Edwin Allen High School,,5.10mX,5
Long Jump ,Boys,2,Field Event,Jumps,,Kevin Mitchell,26,9,Excelsior High School,,6.06mX,0
Long Jump ,Boys,3,Field Event,Jumps,,Tyshan Thompson,26,12,Excelsior High School,,5.04mX,0
Long Jump ,Girls,2,Field Event,Jumps,,Tiyana Peart,26,12,Holmwood Technical High School,,4.79mX,0
Long Jump ,Girls,1,Field Event,Jumps,,Mikayla Longmore,26,7,Holmwood Technical High School,,5.18mX,2
Long Jump ,Girls,3,Field Event,Jumps,,Ashley Dyke,26,5,Holmwood Technical High School,,5.26mX,4
Long Jump ,Girls,4,Field Event,Jumps,,Jahara Thomas,26,9,Holmwood Technical High School,,4.66mX,0
Long Jump ,Girls,2,Field Event,Jumps,,Zavien Bernard,26,1,Hydel High School,,5.75mX,9
Long Jump ,Girls,1,Field Event,Jumps,,Sabrina Atkinson,26,2,Hydel High School,,5.59mX,7
Long Jump ,Girls,1,Field Event,Jumps,,Jenice Dunkley,26,3,Hydel High School,,5.53mX,6
Long Jump ,Girls,3,Field Event,Jumps,,Daina Black,26,8,Hydel High School,,5.05mX,1
Long Jump ,Girls,4,Field Event,Jumps,,Reneka Reid,26,6,Hydel High School,,4.94mX,3
Long Jump ,Girls,4,Field Event,Jumps,,Niandra Todd,26,11,Hydel High School,,4.42mX,0
Long Jump ,Girls,2,Field Event,Jumps,,Ashley Barrett,26,4,Immaculate Conception High School,,5.43mX,5
Long Jump ,Girls,1,Field Event,Jumps,,Jaeda Robinson,26,--,Immaculate Conception High School,,DNSX,0
Long Jump ,Girls,3,Field Event,Jumps,,Aaja Brown,26,4,Immaculate Conception High School,,5.28mX,5
Long Jump ,Girls,4,Field Event,Jumps,,Sukhuri-Shay Smith,26,2,Immaculate Conception High School,,5.29mX,7
Long Jump ,Girls,4,Field Event,Jumps,,Taniqua Brown,26,7,Immaculate Conception High School,,4.76mX,2
Long Jump ,Boys,1,Field Event,Jumps,,Michael-Andre Edwards,26,1,Jamaica College,,7.71mX,9
Long Jump ,Boys,1,Field Event,Jumps,,Jaivar Cato,26,2,Jamaica College,,7.21mX,7
Long Jump ,Boys,2,Field Event,Jumps,,Nicotroy Green,26,7,Jamaica College,,6.43mX,2
Long Jump ,Boys,3,Field Event,Jumps,,Nathan-Neil Heirs,26,1,Jamaica College,,6.37mX,9
Long Jump ,Boys,3,Field Event,Jumps,,Antwane Miller,26,6,Jamaica College,,5.64mX,3
Long Jump ,Boys,1,Field Event,Jumps,,Amani Phillips,26,--,Kingston College,,FOULX,0
Long Jump ,Boys,2,Field Event,Jumps,,Odane Noble,26,1,Kingston College,,7.18mX,9
Long Jump ,Boys,3,Field Event,Jumps,,Joel Patrickson,26,2,Kingston College,,6.11mX,7
Long Jump ,Boys,3,Field Event,Jumps,,Demarkus Vassell,26,11,Kingston College,,5.08mX,0
Long Jump ,Boys,2,Field Event,Jumps,,Akeem Freeman,26,11,Manchester High School,,5.99mX,0
Long Jump ,Girls,1,Field Event,Jumps,,Tatanya Anglin,26,9,Merl Grove High School,,5.09mX,0
Long Jump ,Girls,3,Field Event,Jumps,,Ebony Glenn,26,10,Merl Grove High School,,4.96mX,0
Long Jump ,Girls,4,Field Event,Jumps,,Tiana Mcdonald,26,--,Merl Grove High School,,DNSX,0
Long Jump ,Girls,2,Field Event,Jumps,,Malia Housen,26,6,Mount Alvernia High School,,5.23mX,3
Long Jump ,Boys,1,Field Event,Jumps,,Svein Lawrence,26,10,Petersfield High School,,6.28mX,0
Long Jump ,Boys,1,Field Event,Jumps,,Tyrece Mickiel,26,11,Port Antonio High School,,6.20mX,0
Long Jump ,Girls,2,Field Event,Jumps,,Danielle Locke,26,5,St. Andrew High School for Girls,,5.30mX,4
Long Jump ,Girls,3,Field Event,Jumps,,Jowana Pennant,26,3,St. Andrew High School for Girls,,5.36mX,6
Long Jump ,Girls,4,Field Event,Jumps,,Gabriella Fletcher,26,3,St. Andrew High School for Girls,,5.10mX,6
Long Jump ,Girls,1,Field Event,Jumps,,Rihanna Chambers,26,8,St. Catherine High School,,5.11mX,1
Long Jump ,Boys,1,Field Event,Jumps,,Santino Distin,26,7,St. Elizabeth Technical High School,,6.78mX,2
Long Jump ,Boys,1,Field Event,Jumps,,Rodeeki Walters,26,8,St. Elizabeth Technical High School,,6.63mX,1
Long Jump ,Boys,2,Field Event,Jumps,,Shavoy Stewart,26,8,St. Elizabeth Technical High School,,6.36mX,1
Long Jump ,Boys,3,Field Event,Jumps,,Victor Lewis,26,5,St. Elizabeth Technical High School,,5.70mX,4
Long Jump ,Girls,4,Field Event,Jumps,,Anastacia Richards,26,1,St. Elizabeth Technical High School,,5.46mX,9
Long Jump ,Girls,1,Field Event,Jumps,,Brianna Carr,26,11,St. Hugh's High for Girls,,4.53mX,0
Long Jump ,Boys,1,Field Event,Jumps,,Kemar James,26,6,St. Jago High School,,6.90mX,3
Long Jump ,Boys,1,Field Event,Jumps,,Beando Reid,26,9,St. Jago High School,,6.50mX,0
Long Jump ,Girls,2,Field Event,Jumps,,Alexia Williams,26,11,St. Jago High School,,4.82mX,0
Long Jump ,Boys,2,Field Event,Jumps,,Winaldo Faulknor,26,3,St. Jago High School,,6.79mX,6
Long Jump ,Boys,2,Field Event,Jumps,,Leonardo Green,26,6,St. Jago High School,,6.61mX,3
Long Jump ,Girls,1,Field Event,Jumps,,Bryana Davidson,26,10,St. Jago High School,,4.94mX,0
Long Jump ,Girls,3,Field Event,Jumps,,Deandra Fitten,26,9,St. Jago High School,,5.04mX,0
Long Jump ,Girls,3,Field Event,Jumps,,Tianna Orrett,26,11,St. Mary High School,,4.88mX,0
Long Jump ,Boys,1,Field Event,Jumps,,Ajarie Bloomfield,26,3,Titchfield High School,,7.16mX,6
Long Jump ,Boys,3,Field Event,Jumps,,Romario Franklyn,26,3,Titchfield High School,,5.99mX,6
Long Jump ,Girls,2,Field Event,Jumps,,Xiah Tobias,26,8,Vere Technical High School,,5.15mX,1
Long Jump ,Girls,2,Field Event,Jumps,,Jenoya Mesquito,26,9,Vere Technical High School,,5.04mX,0
Long Jump ,Girls,1,Field Event,Jumps,,Brianna Sawyers-Cross,26,5,Vere Technical High School,,5.23mX,4
Long Jump ,Girls,4,Field Event,Jumps,,Brianna Livermore,26,10,Vere Technical High School,,4.65mX,0
Long Jump ,Boys,1,Field Event,Jumps,,Roshane Francis,26,4,Wolmer's Boys School,,7.06mX,5
Long Jump ,Boys,2,Field Event,Jumps,,Omari Gordon,26,--,Wolmer's Boys School,,FOULX,0
Long Jump ,Boys,3,Field Event,Jumps,,Justin Page,26,7,Wolmer's Boys School,,5.58mX,2
Long Jump ,Boys,3,Field Event,Jumps,,Shadar Ricketts,26,10,Wolmer's Boys School,,5.22mX,0
Long Jump ,Girls,1,Field Event,Jumps,,Janielle Lowe,26,6,Wolmer's Trust High School For Girls,,5.22mX,3
Long Jump ,Girls,3,Field Event,Jumps,,Odainna Creary,26,--,Wolmer's Trust High School For Girls,,FOULX,0
Long Jump ,Girls,4,Field Event,Jumps,,De-Asia Segree,26,5,Wolmer's Trust High School For Girls,,5.04mX,4
Long Jump ,Girls,4,Field Event,Jumps,,Demeisha Graham,26,8,Wolmer's Trust High School For Girls,,4.72mX,1
Pole Vault ,Boys,Open,Field Event,Jumps,,Andrus Molloy,26,9,Calabar High School,,3.20mX,0
Pole Vault ,Boys,Open,Field Event,Jumps,,Omari Stewart,26,10,Calabar High School,,3.20mX,0
Pole Vault ,Boys,Open,Field Event,Jumps,,Kevaun Grant,26,7,Excelsior High School,,3.40mX,2
Pole Vault ,Boys,Open,Field Event,Jumps,,Bryson Maitland,26,--,Excelsior High School,,NHX,0
Pole Vault ,Boys,Open,Field Event,Jumps,,Daniel Facey,26,4,Jamaica College,,3.70mX,5
Pole Vault ,Boys,Open,Field Event,Jumps,,Mikail Mckenzie,26,6,Jamaica College,,3.50mX,3
Pole Vault ,Boys,Open,Field Event,Jumps,,Jurel Clement,26,3,Kingston College,,3.70mX,6
Pole Vault ,Boys,Open,Field Event,Jumps,,Errol Henry,26,8,Kingston College,,3.20mX,1
Pole Vault ,Boys,Open,Field Event,Jumps,,Al'J Lewis,26,2,St. Elizabeth Technical High School,,3.70mX,7
Pole Vault ,Boys,Open,Field Event,Jumps,,Tray Barrett,26,1,St. Jago High School,,3.90mX,9
Pole Vault ,Boys,Open,Field Event,Jumps,,Anthony Dane Cooke,26,5,Wolmer's Boys School,,3.60mX,4
Pole Vault ,Boys,Open,Field Event,Jumps,,Ryheim Howard,26,--,Wolmer's Boys School,,NHX,0
Shot Put ,Boys,1,Field Event,Throws,,Kamari Kennedy,26,2,Calabar High School,,18.16mX,7
Shot Put ,Boys,1,Field Event,Throws,,Khaleel Henry,26,4,Calabar High School,,17.14mX,5
Shot Put ,Boys,2,Field Event,Throws,,Kidane Linton,26,2,Calabar High School,,15.58mX,7
Shot Put ,Boys,2,Field Event,Throws,,Mark-Anthony Earlington,26,9,Calabar High School,,13.66mX,0
Shot Put ,Girls,2,Field Event,Throws,,Jamelia Young,26,1,Clarendon College,,14.71mX,9
Shot Put ,Boys,1,Field Event,Throws,,Lawayne Blackwood,26,7,Clarendon College,,16.38mX,2
Shot Put ,Girls,1,Field Event,Throws,,Marla-Kay Lampart,26,1,Clarendon College,,14.07mX,9
Shot Put ,Girls,1,Field Event,Throws,,Saje Cruickshank,26,5,Convent of Mercy Academy (ALPHA),,12.44mX,4
Shot Put ,Boys,2,Field Event,Throws,,Junior Wright,26,10,Cornwall College,,13.36mX,0
Shot Put ,Girls,2,Field Event,Throws,,Shandre Brown,26,6,Edwin Allen High School,,13.07mX,3
Shot Put ,Girls,2,Field Event,Throws,,Fabiana Perry,26,--,Edwin Allen High School,,FOULX,0
Shot Put ,Boys,1,Field Event,Throws,,Clinton Baker,26,11,Edwin Allen High School,,14.80mX,0
Shot Put ,Girls,1,Field Event,Throws,,Dionjah Shaw,26,6,Edwin Allen High School,,12.39mX,3
Shot Put ,Girls,2,Field Event,Throws,,Alyssa Forrester,26,3,Excelsior High School,,14.22mX,6
Shot Put ,Girls,1,Field Event,Throws,,Katie Gordon,26,2,Excelsior High School,,12.75mX,7
Shot Put ,Girls,1,Field Event,Throws,,Kayla Honeywell,26,11,Excelsior High School,,11.34mX,0
Shot Put ,Girls,2,Field Event,Throws,,Paulandra James,26,7,Godfrey Stewart High School,,12.98mX,2
Shot Put ,Boys,2,Field Event,Throws,,Xavier Tracey,26,7,Happy Grove High School,,14.46mX,2
Shot Put ,Girls,2,Field Event,Throws,,Shamanda Wilmot,26,2,Holmwood Technical High School,,14.39mX,7
Shot Put ,Girls,2,Field Event,Throws,,Brandane Malcom,26,5,Hydel High School,,13.70mX,4
Shot Put ,Girls,2,Field Event,Throws,,Jamie-Lee Tulloch,26,4,Immaculate Conception High School,,13.93mX,5
Shot Put ,Girls,2,Field Event,Throws,,Remesha Dixon,26,8,Immaculate Conception High School,,12.72mX,1
Shot Put ,Girls,1,Field Event,Throws,,Jada Francis,26,4,Immaculate Conception High School,,12.44mX,5
Shot Put ,Boys,1,Field Event,Throws,,Denzel Phillips,26,6,Jamaica College,,16.55mX,3
Shot Put ,Boys,1,Field Event,Throws,,Xhaevion Kelly,26,8,Jamaica College,,15.93mX,1
Shot Put ,Boys,2,Field Event,Throws,,Jaafari Shaw,26,3,Jamaica College,,15.55mX,6
Shot Put ,Boys,2,Field Event,Throws,,Nasir D'Aguilar,26,4,Jamaica College,,15.25mX,5
Shot Put ,Boys,1,Field Event,Throws,,Nkosana Johnson,26,3,Kingston College,,17.62mX,6
Shot Put ,Boys,1,Field Event,Throws,,Kahjay Lawes,26,5,Kingston College,,16.72mX,4
Shot Put ,Boys,2,Field Event,Throws,,Saniyon Mcleod,26,8,Kingston College,,14.21mX,1
Shot Put ,Girls,1,Field Event,Throws,,Abigail Bennett,26,8,Merl Grove High School,,12.02mX,1
Shot Put ,Boys,1,Field Event,Throws,,Javontae Smith,26,1,Munro College,,18.44mX,9
Shot Put ,Boys,2,Field Event,Throws,,Brandon Lawrence,26,1,Munro College,,18.40mX,9
Shot Put ,Boys,2,Field Event,Throws,,Ashan Haffenden,26,5,Munro College,,14.99mX,4
Shot Put ,Boys,2,Field Event,Throws,,Kevron Grant,26,11,Papine High School,,11.20mX,0
Shot Put ,Boys,1,Field Event,Throws,,Andre Samuda,26,9,St. Andrew Technical High School,,15.89mX,0
Shot Put ,Girls,2,Field Event,Throws,,Davieka Lewis,26,9,St. Elizabeth Technical High School,,11.78mX,0
Shot Put ,Boys,2,Field Event,Throws,,Daviere Buchanan,26,--,St. Elizabeth Technical High School,,FOULX,0
Shot Put ,Boys,2,Field Event,Throws,,Jhaidon-Mickai Williams,26,6,St. Jago High School,,14.90mX,3
Shot Put ,Girls,1,Field Event,Throws,,Rehanna Biggs,26,10,St. Jago High School,,11.54mX,0
Shot Put ,Girls,1,Field Event,Throws,,Jessica Thompson,26,12,St. Jago High School,,10.52mX,0
Shot Put ,Boys,1,Field Event,Throws,,Dwight Fraser,26,10,Sydney Pagon Academy,,14.99mX,0
Shot Put ,Girls,2,Field Event,Throws,,Ninka Comrie,26,10,Vere Technical High School,,11.54mX,0
Shot Put ,Girls,2,Field Event,Throws,,Swaicey-Ann Black,26,11,Vere Technical High School,,11.33mX,0
Shot Put ,Boys,1,Field Event,Throws,,Christopher Orridge,26,12,Vere Technical High School,,13.67mX,0
Shot Put ,Girls,1,Field Event,Throws,,Gabriel Merchant,26,3,Vere Technical High School,,12.59mX,6
Shot Put ,Girls,1,Field Event,Throws,,Bethany Thomas,26,7,Wolmer's Trust High School For Girls,,12.13mX,2
Shot Put ,Girls,1,Field Event,Throws,,Tianna Brown,26,9,Wolmer's Trust High School For Girls,,11.77mX,0
Triple Jump ,Boys,1,Field Event,Jumps,,Antonio Anderson,26,3,Calabar High School,,15.21mX,6
Triple Jump ,Boys,1,Field Event,Jumps,,Kaleel Samuels,26,6,Calabar High School,,15.12mX,3
Triple Jump ,Boys,2,Field Event,Jumps,,Talshawn Edwards,26,1,Calabar High School,,14.54mX,9
Triple Jump ,Boys,2,Field Event,Jumps,,Omari Stewart,26,9,Calabar High School,,13.39mX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Akaylea Brown,26,3,Edwin Allen High School,,12.17mX,6
Triple Jump ,Girls,Open,Field Event,Jumps,,Dashanelle Clarke,26,5,Edwin Allen High School,,11.89mX,4
Triple Jump ,Boys,1,Field Event,Jumps,,Khi-Anthony Hall,26,10,Excelsior High School,,14.36mX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Shauntai Pryce,26,12,Excelsior High School,,11.14mX,0
Triple Jump ,Boys,2,Field Event,Jumps,,Dandre Mckenzie,26,7,Happy Grove High School,,13.54mX,2
Triple Jump ,Girls,Open,Field Event,Jumps,,Mikayla Longmore,26,4,Holmwood Technical High School,,12.15mX,5
Triple Jump ,Girls,Open,Field Event,Jumps,,Jannessa Allen,26,10,Holmwood Technical High School,,11.32mX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Zavien Bernard,26,1,Hydel High School,,12.65mX,9
Triple Jump ,Girls,Open,Field Event,Jumps,,Sabrina Atkinson,26,2,Hydel High School,,12.43mX,7
Triple Jump ,Girls,Open,Field Event,Jumps,,Ashley Barrett,26,7,Immaculate Conception High School,,11.77mX,2
Triple Jump ,Girls,Open,Field Event,Jumps,,Jaeda Robinson,26,8,Immaculate Conception High School,,11.63mX,1
Triple Jump ,Boys,1,Field Event,Jumps,,Michael-Andre Edwards,26,1,Jamaica College,,16.25mX,9
Triple Jump ,Boys,1,Field Event,Jumps,,Jaivar Cato,26,5,Jamaica College,,15.15mX,4
Triple Jump ,Boys,2,Field Event,Jumps,,Omeco Henclewood,26,8,Jamaica College,,13.44mX,1
Triple Jump ,Boys,2,Field Event,Jumps,,Nicotroy Green,26,12,Jamaica College,,12.24mX,0
Triple Jump ,Boys,1,Field Event,Jumps,,Amani Phillips,26,2,Kingston College,,15.34mX,7
Triple Jump ,Boys,1,Field Event,Jumps,,Rekelme Hunter,26,4,Kingston College,,15.15mX,5
Triple Jump ,Boys,2,Field Event,Jumps,,Joshua Patrick,26,2,Kingston College,,14.34mX,7
Triple Jump ,Boys,2,Field Event,Jumps,,Demario Clarke,26,3,Kingston College,,14.33mX,6
Triple Jump ,Boys,2,Field Event,Jumps,,Akeem Freeman,26,11,Manchester High School,,12.42mX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Tatanya Anglin,26,13,Merl Grove High School,,11.12mX,0
Triple Jump ,Boys,2,Field Event,Jumps,,Demar Johnson,26,10,Munro College,,13.05mX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Aeisha Balli,26,--,St. Andrew High School for Girls,,FOULX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Tshani Armstrong,26,9,St. Catherine High School,,11.37mX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Rihanna Johnson,26,--,St. Elizabeth Technical High School,,FOULX,0
Triple Jump ,Boys,1,Field Event,Jumps,,Kemar James,26,11,St. Jago High School,,14.23mX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Alexia Williams,26,6,St. Jago High School,,11.86mX,3
Triple Jump ,Girls,Open,Field Event,Jumps,,Alanna Lee,26,--,St. Jago High School,,FOULX,0
Triple Jump ,Boys,2,Field Event,Jumps,,Winaldo Faulknor,26,4,St. Jago High School,,14.10mX,5
Triple Jump ,Boys,1,Field Event,Jumps,,Ajarie Bloomfield,26,7,Titchfield High School,,14.87mX,2
Triple Jump ,Boys,1,Field Event,Jumps,,Rajae Williams,26,12,Titchfield High School,,14.22mX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Martina Moxam,26,11,Vere Technical High School,,11.18mX,0
Triple Jump ,Girls,Open,Field Event,Jumps,,Kewana Peterkin,26,--,William Knibb Memorial High School,,FOULX,0
Triple Jump ,Boys,1,Field Event,Jumps,,Kabiki Thomas,26,8,Wolmer's Boys School,,14.76mX,1
Triple Jump ,Boys,1,Field Event,Jumps,,Roshane Francis,26,9,Wolmer's Boys School,,14.40mX,0
Triple Jump ,Boys,2,Field Event,Jumps,,Marques Yeard,26,5,Wolmer's Boys School,,14.08mX,4
Triple Jump ,Boys,2,Field Event,Jumps,,Omari Gordon,26,6,Wolmer's Boys School,,13.70mX,3